rank,name,confed,off,def,spi
1,Spain,UEFA,3.54,0.39,93.99
2,Brazil,CONMEBOL,3.04,0.32,92.22
3,Belgium,UEFA,2.96,0.58,87.71
4,France,UEFA,2.9,0.55,87.64
5,England,UEFA,2.7,0.45,87.44
6,Argentina,CONMEBOL,2.54,0.42,86.59
7,Portugal,UEFA,2.7,0.52,86.2
8,Netherlands,UEFA,2.69,0.53,86.07
9,Germany,UEFA,3.04,0.73,86.05
10,Italy,UEFA,2.52,0.44,86.04
11,Switzerland,UEFA,2.52,0.62,82.57
12,Uruguay,CONMEBOL,2.36,0.56,81.8
13,Colombia,CONMEBOL,2.17,0.54,79.63
14,Denmark,UEFA,2.12,0.58,78.1
15,Mexico,CONCACAF,2.34,0.73,77.92
16,Chile,CONMEBOL,2.22,0.72,76.47
17,Croatia,UEFA,2.42,0.86,76.37
18,Austria,UEFA,2.11,0.69,75.41
19,Ecuador,CONMEBOL,2.24,0.79,75.28
20,Serbia,UEFA,2.08,0.77,73.37
21,USA,CONCACAF,2.04,0.74,73.19
22,Russia,UEFA,2.18,0.85,73.07
23,Sweden,UEFA,1.97,0.74,72.21
24,Poland,UEFA,1.92,0.72,71.67
25,Czech Republic,UEFA,1.96,0.76,71.49
26,Algeria,CAF,2.03,0.81,71.42
27,Venezuela,CONMEBOL,1.87,0.74,70.38
28,Peru,CONMEBOL,1.89,0.77,69.91
29,Iran,AFC,1.78,0.7,69.77
30,Morocco,CAF,2.04,0.92,69.26
31,Paraguay,CONMEBOL,1.8,0.73,69.26
32,Senegal,CAF,1.65,0.62,69.2
33,Japan,AFC,1.86,0.78,69.17
34,Wales,UEFA,1.65,0.64,68.73
35,Norway,UEFA,1.99,0.91,68.56
36,Turkey,UEFA,1.88,0.86,67.81
37,Australia,AFC,1.92,0.9,67.34
38,Ghana,CAF,1.54,0.66,66.08
39,Romania,UEFA,1.88,1.0,64.55
40,Ukraine,UEFA,1.67,0.82,64.53
41,Greece,UEFA,1.5,0.7,64.12
42,Tunisia,CAF,1.56,0.78,63.55
43,Ivory Coast,CAF,1.62,0.85,62.71
44,South Korea,AFC,1.51,0.8,61.9
45,Bosnia and Herzegovina,UEFA,1.74,1.01,61.29
46,Egypt,CAF,1.55,0.88,60.6
47,Qatar,AFC,1.75,1.09,59.93
48,Hungary,UEFA,1.54,0.91,59.84
49,Canada,CONCACAF,1.82,1.16,59.71
50,Scotland,UEFA,1.46,0.84,59.71
51,Israel,UEFA,1.72,1.08,59.39
52,Basque Country,UEFA,1.63,1.0,59.32
53,Slovenia,UEFA,1.4,0.82,58.87
54,Uganda,CAF,1.58,0.98,58.85
55,Mali,CAF,1.26,0.69,58.82
56,Nigeria,CAF,1.77,1.15,58.73
57,Finland,UEFA,1.61,1.03,58.39
58,Iraq,AFC,1.39,0.84,58.09
59,Costa Rica,CONCACAF,1.49,0.93,58.04
60,Zimbabwe,CAF,1.6,1.06,57.58
61,Burkina Faso,CAF,1.38,0.89,56.74
62,Northern Ireland,UEFA,1.37,0.92,55.7
63,Iceland,UEFA,1.52,1.06,55.68
64,Rep of Ireland,UEFA,1.26,0.82,55.62
65,Slovakia,UEFA,1.53,1.14,54.08
66,Honduras,CONCACAF,1.56,1.2,53.21
67,Bolivia,CONMEBOL,1.57,1.22,53.13
68,Uzbekistan,AFC,1.47,1.13,52.97
69,Saudi Arabia,AFC,1.56,1.24,52.47
70,Panama,CONCACAF,1.3,1.0,52.02
71,Cameroon,CAF,1.19,0.89,51.99
72,Georgia,UEFA,1.27,1.0,51.42
73,Albania,UEFA,1.32,1.06,51.04
74,Haiti,CONCACAF,1.47,1.23,50.56
75,Bahrain,AFC,1.24,1.0,50.49
76,Montenegro,UEFA,1.23,1.04,49.31
77,China PR,AFC,1.2,1.02,49.21
78,Belarus,UEFA,1.34,1.16,49.19
79,FYR Macedonia,UEFA,1.3,1.13,48.8
80,Benin,CAF,1.14,0.97,48.62
81,Kosovo,UEFA,1.33,1.2,48.1
82,Zambia,CAF,1.46,1.34,48.09
83,Bulgaria,UEFA,1.2,1.07,48.0
84,Guinea,CAF,1.27,1.15,48.0
85,Namibia,CAF,0.96,0.82,47.83
86,Congo,CAF,1.13,1.0,47.82
87,South Africa,CAF,1.35,1.24,47.7
88,Jamaica,CONCACAF,1.32,1.21,47.69
89,Gabon,CAF,1.16,1.04,47.6
90,Congo DR,CAF,1.28,1.18,47.34
91,Libya,CAF,1.24,1.17,46.61
92,Armenia,UEFA,1.48,1.49,45.34
93,Togo,CAF,1.32,1.32,45.31
94,Tanzania,CAF,1.21,1.2,45.28
95,Guatemala,CONCACAF,1.25,1.27,44.7
96,Kenya,CAF,1.11,1.12,44.4
97,New Zealand,OFC,1.26,1.3,44.18
98,Angola,CAF,1.07,1.14,42.82
99,Jordan,AFC,0.93,0.99,42.64
100,Cape Verde Islands,CAF,1.04,1.15,42.17
101,Madagascar,CAF,1.3,1.44,42.16
102,Curacao,CONCACAF,1.29,1.47,41.53
103,El Salvador,CONCACAF,1.05,1.2,41.27
104,Oman,AFC,1.08,1.24,41.19
105,Equatorial Guinea,CAF,1.06,1.26,40.12
106,Gambia,CAF,1.18,1.41,40.04
107,Malawi,CAF,0.66,0.85,38.22
108,Botswana,CAF,0.77,0.99,38.1
109,Luxembourg,UEFA,1.12,1.44,38.03
110,Mozambique,CAF,1.12,1.45,37.79
111,Syria,AFC,1.36,1.74,37.65
112,Liberia,CAF,1.05,1.37,37.46
113,Kuwait,AFC,1.05,1.37,37.45
114,Sudan,CAF,0.96,1.29,36.91
115,Mauritania,CAF,1.0,1.34,36.91
116,United Arab Emirates,AFC,1.04,1.43,36.24
117,Trinidad and Tobago,CONCACAF,1.09,1.5,35.92
118,Niger,CAF,1.05,1.47,35.69
119,Azerbaijan,UEFA,0.82,1.22,34.73
120,Cuba,CONCACAF,0.89,1.31,34.58
121,Kazakhstan,UEFA,0.98,1.44,34.35
122,Rwanda,CAF,0.69,1.06,34.3
123,Lithuania,UEFA,1.03,1.53,34.08
124,Cyprus,UEFA,1.01,1.51,33.86
125,Estonia,UEFA,0.88,1.35,33.74
126,Burundi,CAF,0.88,1.37,33.29
127,Sierra Leone,CAF,1.08,1.65,32.95
128,Bermuda,CONCACAF,1.19,1.82,32.69
129,St. Kitts and Nevis,CONCACAF,1.15,1.76,32.67
130,Lesotho,CAF,0.79,1.3,32.21
131,Comoros,CAF,1.0,1.6,32.05
132,Lebanon,AFC,0.62,1.09,31.7
133,Ethiopia,CAF,0.84,1.4,31.68
134,Guinea-Bissau,CAF,0.9,1.49,31.61
135,Vietnam,AFC,0.68,1.19,31.55
136,Nicaragua,CONCACAF,0.88,1.5,30.87
137,Latvia,UEFA,0.92,1.59,30.44
138,Dominican Republic,CONCACAF,1.01,1.73,30.13
139,Palestine,AFC,0.78,1.42,29.82
140,Thailand,AFC,0.9,1.59,29.77
141,Central African Republic,CAF,1.03,1.79,29.55
142,North Korea,AFC,0.87,1.59,28.99
143,Moldova,UEFA,0.76,1.45,28.87
144,Kyrgyzstan,AFC,0.85,1.62,28.08
145,Faroe Islands,UEFA,0.86,1.65,27.7
146,Turkmenistan,AFC,0.87,1.73,26.68
147,Chad,CAF,0.85,1.71,26.54
148,Fiji,OFC,0.67,1.45,26.35
149,Martinique,CONCACAF,0.94,1.85,26.34
150,Guyana,CONCACAF,1.13,2.22,25.06
151,Belize,CONCACAF,0.79,1.73,24.84
152,Suriname,CONCACAF,0.76,1.71,24.52
153,Antigua and Barbuda,CONCACAF,1.09,2.2,24.48
154,South Sudan,CAF,0.73,1.74,23.16
155,Solomon Islands,OFC,0.69,1.71,22.71
156,Zanzibar,CAF,0.49,1.47,21.39
157,Puerto Rico,CONCACAF,0.73,1.89,21.11
158,New Caledonia,OFC,0.69,1.85,20.92
159,Malaysia,AFC,0.76,1.98,20.71
160,Malta,UEFA,0.7,1.88,20.58
161,Barbados,CONCACAF,0.54,1.61,20.53
162,Dominica,CONCACAF,0.55,1.65,20.29
163,Swaziland,CAF,0.56,1.67,20.28
164,Eritrea,CAF,0.79,2.1,19.77
165,Tahiti,OFC,0.81,2.15,19.56
166,Philippines,AFC,0.72,2.02,19.31
167,India,AFC,0.54,1.82,17.9
168,Tajikistan,AFC,0.71,2.13,17.67
169,Singapore,AFC,0.65,2.05,17.47
170,Sao Tome and Principe,CAF,0.79,2.38,16.48
171,St. Vincent and the Grenadines,CONCACAF,0.7,2.23,16.4
172,Hong Kong,AFC,0.34,1.57,16.04
173,Grenada,CONCACAF,0.68,2.22,16.04
174,Vanuatu,OFC,0.64,2.17,15.99
175,Mauritius,CAF,0.7,2.31,15.5
176,St. Lucia,CONCACAF,0.64,2.24,15.12
177,Yemen,AFC,0.51,2.09,14.29
178,Liechtenstein,UEFA,0.6,2.27,14.03
179,Gibraltar,UEFA,0.49,2.08,13.79
180,Afghanistan,AFC,0.53,2.46,11.07
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Djibouti,CAF,0.64,2.85,10.03
183,Indonesia,AFC,0.62,2.83,9.93
184,Myanmar,AFC,0.57,2.71,9.91
185,Andorra,UEFA,0.28,2.09,9.71
186,Montserrat,CONCACAF,0.81,3.24,9.65
187,Cayman Islands,CONCACAF,0.4,2.41,9.43
188,Papua New Guinea,OFC,0.6,2.88,9.16
189,Somalia,CAF,0.55,2.8,8.97
190,Bahamas,CONCACAF,0.73,3.44,7.5
191,Seychelles,CAF,0.41,2.8,7.04
192,Maldives,AFC,0.41,2.81,7.01
193,Bangladesh,AFC,0.26,2.48,6.73
194,French Guiana,CONCACAF,0.52,3.18,6.57
195,Nepal,AFC,0.21,2.47,6.12
196,Mongolia,AFC,0.25,2.72,5.41
197,Chinese Taipei,AFC,0.45,3.48,4.58
198,San Marino,UEFA,0.24,2.9,4.55
199,British Virgin Islands,CONCACAF,0.42,3.62,3.88
200,Bonaire,CONCACAF,0.37,3.59,3.5
201,Cambodia,AFC,0.28,3.35,3.44
202,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
203,Guam,AFC,0.51,4.42,2.48
204,Guadeloupe,CONCACAF,0.2,3.49,2.47
205,Anguilla,CONCACAF,0.35,4.08,2.29
206,Brunei,AFC,0.21,3.71,2.13
207,US Virgin Islands,CONCACAF,0.38,4.38,1.93
208,Sri Lanka,AFC,0.2,3.81,1.87
209,Pakistan,AFC,0.2,3.92,1.71
210,Laos,AFC,0.21,4.11,1.48
211,Bhutan,AFC,0.22,4.62,0.98
212,St. Martin,CONCACAF,0.23,4.89,0.81
213,Sint Maarten,CONCACAF,0.21,4.93,0.74
214,Tuvalu,OFC,0.38,5.62,0.7
215,Timor-Leste,AFC,0.33,5.56,0.64
216,Macau,AFC,0.2,5.11,0.6
217,Samoa,OFC,0.2,5.78,0.34
218,Tonga,OFC,0.2,6.08,0.26
